time,G(i),H_sun,T2m,WS10m,Int
20050111:0700,0.0,0.0,1.44,2.31,0.0
20050111:0800,0.0,0.0,2.06,2.46,0.0
20050111:0900,0.0,0.0,2.69,2.61,0.0
20050111:1000,0.0,0.0,2.72,2.72,0.0
20050111:1100,0.0,0.0,2.76,2.83,0.0
20050111:1200,0.0,0.0,2.79,2.94,0.0
20050111:1300,0.0,0.0,3.43,2.89,0.0
20050111:1400,0.0,0.0,4.07,2.84,0.0
20050111:1500,1.57,6.24,4.71,2.79,0.0
20050111:1600,140.88,15.28,6.03,3.12,0.0
20050111:1700,318.91,22.62,7.36,3.45,0.0
20050111:1800,304.63,27.63,8.68,3.78,0.0
20050111:1900,546.75,29.71,8.77,4.28,0.0
20050111:2000,760.6,28.55,8.86,4.77,0.0
20050111:2100,205.78,24.32,8.95,5.27,0.0
20050111:2200,73.15,17.58,7.73,4.88,0.0
20050111:2300,7.87,8.97,6.5,4.49,0.0
20050112:0000,0.0,0.0,5.27,4.1,0.0
20050112:0100,0.0,0.0,4.78,3.84,0.0
20050112:0200,0.0,0.0,4.29,3.58,0.0
20050112:0300,0.0,0.0,3.8,3.32,0.0
20050112:0400,0.0,0.0,3.93,3.3,0.0
20050112:0500,0.0,0.0,4.05,3.28,0.0
20050112:0600,0.0,0.0,4.18,3.26,0.0
20050112:0700,0.0,0.0,4.11,3.2,0.0
20050112:0800,0.0,0.0,4.05,3.14,0.0
20050112:0900,0.0,0.0,3.98,3.08,0.0
20050112:1000,0.0,0.0,2.04,3.29,0.0
20050112:1100,0.0,0.0,0.1,3.51,0.0
20050112:1200,0.0,0.0,-1.84,3.72,0.0
20050112:1300,0.0,0.0,-1.39,3.34,0.0
20050112:1400,0.0,0.0,-0.94,2.96,0.0
20050112:1500,14.95,6.29,-0.49,2.58,0.0
20050112:1600,3.93,15.35,0.44,3.78,0.0
20050112:1700,12.59,22.72,1.38,4.98,0.0
20050112:1800,25.96,27.76,2.31,6.18,0.0
20050112:1900,44.05,29.87,2.34,5.95,0.0
20050112:2000,16.52,28.72,2.37,5.72,0.0
20050112:2100,19.66,24.51,2.4,5.49,0.0
20050112:2200,209.32,17.76,1.31,4.41,0.0
20050112:2300,526.29,9.15,0.22,3.34,0.0
20050113:0000,0.0,0.0,-0.87,2.26,0.0
20050113:0100,0.0,0.0,-1.78,1.72,0.0
20050113:0200,0.0,0.0,-2.68,1.18,0.0
20050113:0300,0.0,0.0,-3.59,0.63,0.0
20050113:0400,0.0,0.0,-4.89,0.91,0.0
20050113:0500,0.0,0.0,-6.2,1.19,0.0
20050113:0600,0.0,0.0,-7.5,1.46,0.0
20050113:0700,0.0,0.0,-8.61,1.87,0.0
20050113:0800,0.0,0.0,-9.72,2.27,0.0
20050113:0900,0.0,0.0,-10.83,2.68,0.0
20050113:1000,0.0,0.0,-10.9,2.94,0.0
20050113:1100,0.0,0.0,-10.97,3.2,0.0
20050113:1200,0.0,0.0,-11.04,3.46,0.0
20050113:1300,0.0,0.0,-10.79,3.43,0.0
20050113:1400,0.0,0.0,-10.54,3.41,0.0
20050113:1500,415.75,6.35,-10.29,3.38,0.0
20050113:1600,738.15,15.44,-6.47,3.04,0.0
20050113:1700,965.44,22.83,-2.65,2.71,0.0
20050113:1800,1108.1,27.9,1.17,2.37,0.0
20050113:1900,1167.23,30.03,2.17,2.43,0.0
20050113:2000,1137.43,28.9,3.17,2.49,0.0
20050113:2100,1023.19,24.69,4.17,2.55,0.0
20050113:2200,825.07,17.95,1.7,2.43,0.0
20050113:2300,544.02,9.33,-0.77,2.31,0.0
20050114:0000,0.0,0.0,-3.25,2.19,0.0
20050114:0100,0.0,0.0,-4.37,2.31,0.0
20050114:0200,0.0,0.0,-5.48,2.42,0.0
20050114:0300,0.0,0.0,-6.6,2.54,0.0
20050114:0400,0.0,0.0,-7.49,2.69,0.0
20050114:0500,0.0,0.0,-8.38,2.84,0.0
